,title,price,link
0,"
HONOR MagicBook X16 Pro 2024, 13th Gen Intel Core i5-13420H
                    (16GB/512GB NVMe SSD, 16-inch (40.64 cm) FHD IPS Anti-Glare
                    Thin and Light Laptop/Windows 11/Backlit
                    Keyboard/Fingerprint/1.75Kg), Gray

","53,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NTY0NzA0OTMzMDkyMDg3OjE3MjcwNzQ1MTI6c3BfYXRmOjMwMDE2OTc3NTIyMjkzMjo6MDo6&url=%2FMagicBook-i5-13420H-Anti-Glare-Keyboard-Fingerprint%2Fdp%2FB0CXLWXYB1%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2FM0ACFC13V3N%26dib%3DeyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TLHuvYspCjaQ55yHHytXpOSY0yMZ7NIF6mir-guWOdXLMOe3-_O9zpxS7MXo5i5sS8tC7z7XvprdgRi7NBTrxyRKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_ncyUPUuU9NnL9wAbAEnoT6_4w7JKOwrZ-dB63_Rwqz4jOacXua8gXSUehqvHYH-TUQzZrQAkCn4ZV6_5tDZa80.hIG8SaAZNX2216EDUjjkF7Frht6Tk5tdxJ-0_75A39w%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727074512%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"
Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15""
                    (38.1cm) FHD IPS 300 Nits Thin & Light Laptop
                    (16GB/512GB SSD/Win 11/MSO 21/1Yr ADP Free/Alexa Built-in/3
                    mon Game Pass/Grey/1.6Kg), 83EM008GIN

","64,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NTY0NzA0OTMzMDkyMDg3OjE3MjcwNzQ1MTI6c3BfYXRmOjMwMDIyNDI3MzIxNDAzMjo6MDo6&url=%2FLenovo-IdeaPad-i7-13620H-38-1cm-83EM008GIN%2Fdp%2FB0D6NCVQZQ%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2FM0ACFC13V3N%26dib%3DeyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TLHuvYspCjaQ55yHHytXpOSY0yMZ7NIF6mir-guWOdXLMOe3-_O9zpxS7MXo5i5sS8tC7z7XvprdgRi7NBTrxyRKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_ncyUPUuU9NnL9wAbAEnoT6_4w7JKOwrZ-dB63_Rwqz4jOacXua8gXSUehqvHYH-TUQzZrQAkCn4ZV6_5tDZa80.hIG8SaAZNX2216EDUjjkF7Frht6Tk5tdxJ-0_75A39w%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727074512%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16GB RAM / 512GB SSD /14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black  ","15,440",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR496TBN/ref=sr_1_3?crid=2FM0ACFC13V3N&dib=eyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TLHuvYspCjaQ55yHHytXpOSY0yMZ7NIF6mir-guWOdXLMOe3-_O9zpxS7MXo5i5sS8tC7z7XvprdgRi7NBTrxyRKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_ncyUPUuU9NnL9wAbAEnoT6_4w7JKOwrZ-dB63_Rwqz4jOacXua8gXSUehqvHYH-TUQzZrQAkCn4ZV6_5tDZa80.hIG8SaAZNX2216EDUjjkF7Frht6Tk5tdxJ-0_75A39w&dib_tag=se&keywords=laptop&qid=1727074512&sr=8-3
3,"(Refurbished) Lenovo ThinkPad 5th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 10 Pro/MS Office/WiFi/Webcam/Intel Graphics), Black  ","12,990",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR495DW5/ref=sr_1_4?crid=2FM0ACFC13V3N&dib=eyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TLHuvYspCjaQ55yHHytXpOSY0yMZ7NIF6mir-guWOdXLMOe3-_O9zpxS7MXo5i5sS8tC7z7XvprdgRi7NBTrxyRKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_ncyUPUuU9NnL9wAbAEnoT6_4w7JKOwrZ-dB63_Rwqz4jOacXua8gXSUehqvHYH-TUQzZrQAkCn4ZV6_5tDZa80.hIG8SaAZNX2216EDUjjkF7Frht6Tk5tdxJ-0_75A39w&dib_tag=se&keywords=laptop&qid=1727074512&sr=8-4
4,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","29,990",https://amazon.in//Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CKLN7PSZ/ref=sr_1_5?crid=2FM0ACFC13V3N&dib=eyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TLHuvYspCjaQ55yHHytXpOSY0yMZ7NIF6mir-guWOdXLMOe3-_O9zpxS7MXo5i5sS8tC7z7XvprdgRi7NBTrxyRKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_ncyUPUuU9NnL9wAbAEnoT6_4w7JKOwrZ-dB63_Rwqz4jOacXua8gXSUehqvHYH-TUQzZrQAkCn4ZV6_5tDZa80.hIG8SaAZNX2216EDUjjkF7Frht6Tk5tdxJ-0_75A39w&dib_tag=se&keywords=laptop&qid=1727074512&sr=8-5
5,"HONOR MagicBook X16 Pro 2024, 13th Gen Intel Core i5-13420H (16GB/512GB NVMe SSD, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop/Windows 11/Backlit Keyboard/Fingerprint/1.75Kg), Gray  ","53,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MDgwOTUzNjY3OTY2NTA5OjE3MjcwNzQ1MTI6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE2OTc3NTIyMjkzMjo6MDo6&url=%2FMagicBook-i5-13420H-Anti-Glare-Keyboard-Fingerprint%2Fdp%2FB0CXLWXYB1%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3D2FM0ACFC13V3N%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.dReHFrlFYTowpKM-sS8vIeXcSOCO1mZVEo49nskJbgAbuwopNcF1U9GGjic8capsdXqXPX_Lrq6vfVFaXGneEg.kQ5FfdDlG-dQxGm0s-z5Jgzl9gJnkQ-UwSkJv19f1SA%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CXLWXYB1%26pd_rd_r%3Db42b8cab-ba58-4c5d-a463-47c8d9a4b1c3%26pd_rd_w%3DPcZKd%26pd_rd_wg%3DtxZz9%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DNVWX8D0A1WCREVBVZSX9%26qid%3D1727074512%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
6,"Lenovo [Smartchoice LOQ 12th Gen Intel Core i5-12450HX /39.6cm/ 144Hz 300Nits FHD Gaming Laptop (16GB/512GB SSD/Win 11/ RTX 3050 6GB Graphics/100% sRGB/MSO 21/3 Mon Game Pass/Grey/2.4Kg), 83GS003UIN  ","71,490",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MDgwOTUzNjY3OTY2NTA5OjE3MjcwNzQ1MTI6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE2NzA4OTQ1OTMzMjo6MTo6&url=%2FLenovo-Smartchoice-i5-12450HX-Graphics-83GS003UIN%2Fdp%2FB0CX8XPKWJ%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3D2FM0ACFC13V3N%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.dReHFrlFYTowpKM-sS8vIeXcSOCO1mZVEo49nskJbgAbuwopNcF1U9GGjic8capsdXqXPX_Lrq6vfVFaXGneEg.kQ5FfdDlG-dQxGm0s-z5Jgzl9gJnkQ-UwSkJv19f1SA%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CX8XPKWJ%26pd_rd_r%3Db42b8cab-ba58-4c5d-a463-47c8d9a4b1c3%26pd_rd_w%3DPcZKd%26pd_rd_wg%3DtxZz9%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DNVWX8D0A1WCREVBVZSX9%26qid%3D1727074512%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
7,"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15"" (38.1cm) FHD IPS 300 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/MSO 21/1Yr ADP Free/Alexa Built-in/3 mon Game Pass/Grey/1.6Kg), 83EM008GIN  ","64,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MDgwOTUzNjY3OTY2NTA5OjE3MjcwNzQ1MTI6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDIyNDI3MzIxNDAzMjo6Mjo6&url=%2FLenovo-IdeaPad-i7-13620H-38-1cm-83EM008GIN%2Fdp%2FB0D6NCVQZQ%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3D2FM0ACFC13V3N%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.dReHFrlFYTowpKM-sS8vIeXcSOCO1mZVEo49nskJbgAbuwopNcF1U9GGjic8capsdXqXPX_Lrq6vfVFaXGneEg.kQ5FfdDlG-dQxGm0s-z5Jgzl9gJnkQ-UwSkJv19f1SA%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0D6NCVQZQ%26pd_rd_r%3Db42b8cab-ba58-4c5d-a463-47c8d9a4b1c3%26pd_rd_w%3DPcZKd%26pd_rd_wg%3DtxZz9%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DNVWX8D0A1WCREVBVZSX9%26qid%3D1727074512%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
8,"Acer Aspire Lite 13th Gen Intel Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG  ","33,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MDgwOTUzNjY3OTY2NTA5OjE3MjcwNzQ1MTI6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI4MTgzNTEzNzYzMjo6Mzo6&url=%2FAcer-i3-1305U-Premium-Windows-AL15-53%2Fdp%2FB0DB1SDB87%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3D2FM0ACFC13V3N%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.dReHFrlFYTowpKM-sS8vIeXcSOCO1mZVEo49nskJbgAbuwopNcF1U9GGjic8capsdXqXPX_Lrq6vfVFaXGneEg.kQ5FfdDlG-dQxGm0s-z5Jgzl9gJnkQ-UwSkJv19f1SA%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0DB1SDB87%26pd_rd_r%3Db42b8cab-ba58-4c5d-a463-47c8d9a4b1c3%26pd_rd_w%3DPcZKd%26pd_rd_wg%3DtxZz9%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DNVWX8D0A1WCREVBVZSX9%26qid%3D1727074512%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
9,"HP Laptop 15s, 12th Gen Intel Core i3-1215U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, 720p HD Camera, Thin & Light, Dual Speakers (Win 11, Silver, 1.69 kg), fy5011TU  ","37,490",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MDgwOTUzNjY3OTY2NTA5OjE3MjcwNzQ1MTI6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI2MTU1NTQ3NDkzMjo6NDo6&url=%2FHP-i3-1215U-15-6-inch-Graphics-Speakers%2Fdp%2FB0D4LZMJ5Z%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3D2FM0ACFC13V3N%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.dReHFrlFYTowpKM-sS8vIeXcSOCO1mZVEo49nskJbgAbuwopNcF1U9GGjic8capsdXqXPX_Lrq6vfVFaXGneEg.kQ5FfdDlG-dQxGm0s-z5Jgzl9gJnkQ-UwSkJv19f1SA%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0D4LZMJ5Z%26pd_rd_r%3Db42b8cab-ba58-4c5d-a463-47c8d9a4b1c3%26pd_rd_w%3DPcZKd%26pd_rd_wg%3DtxZz9%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DNVWX8D0A1WCREVBVZSX9%26qid%3D1727074512%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-5-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
